21-03-2022,1,Drama
21-03-2022,2,Drama
23-03-2022,2,Drama
23-g03-2022,3,Drama
28-03-2022,1,Drama
28-03-2022,2,Drama
29-03-2022,4,French
29-03-2022,1,English
30-03-2022,1,Drama
30-03-2022,2,Drama
30-03-2022,3,Drama
04-01-2022,6,Drama
04-01-2022,7,Drama
04-04-2022,6,Drama
04-04-2022,7,Drama
06-04-2022,2,Drama
06-04-2022,3,Drama
07-04-2022,4,Drama
08-04-2022,1,Drama
08-04-2022,2,Drama
11-04-2022,1,Drama
11-04-2022,2,Drama
12-04-2022,1,Drama
12-04-2022,6,Drama
12-04-2022,7,Drama
13-04-2022,1,Drama
13-04-2022,2,Drama
13-04-2022,3,Drama
13-04-2022,4,Drama
20-04-2022,1,Drama
20-04-2022,2,Drama
20-04-2022,3,Drama
21-04-2022,4,Drama
25-04-2022,CTD,ProductionWeek
26-04-2022,CTD,ProductionWeek
27-04-2022,CTD,ProductionWeek
28-04-2022,CTD,ProductionWeekShow
29-04-2022,CTD,ProductionWeekShow
#25-04-2022,1,"hey if ur looking this far ahead.. i haven't quite figured it out yet. i will when the time comes so chill out"

25-03-2022,CTD,Fasho
#2,2,2

12-05-2022,1,""
12-05-2022,2,"French Exam (9:00)"
12-05-2022,3,"⬇"
12-05-2022,4,"⬇"

24-05-2022,1,""
24-05-2022,2,"English Exam 一 (9:00)"
24-05-2022,3,"⬇"
24-05-2022,4,"⬇"

25-05-2022,1,""
25-05-2022,2,"English Exam 二 (9:00)"
25-05-2022,3,"⬇"
25-05-2022,4,"⬇"

26-05-2022,1,""
26-05-2022,2,"English Exam 三 (9:00)"
26-05-2022,3,"⬇"
26-05-2022,4,"⬇"

06-06-2022,1,""
06-06-2022,2,"French Writing Exam (9:00)"
06-06-2022,3,"⬇ (2 hrs)"
06-06-2022,4,""

14-06-2022,1,"Math exam C1 (both classes) (9:00-11:00)"
16-06-2022,1,"Math exam C2 (9:00-11:00 or maybe 12)"

09-06-2022,1,""
09-06-2022,2,""
09-06-2022,3,""
09-06-2022,4,""
09-06-2022,5,""
09-06-2022,6,""
09-06-2022,7,""
